P( IN | <s> )  =  0.2
P( or | CC )  =  0.16326530612244897
P( NN | CC )  =  0.1111111111111111
P( purpose | NN )  =  0.05555555555555555
P( -LRB- | NN )  =  0.04081632653061224
P( -LRB- | -LRB- )  =  0.08163265306122448
P( `` | -LRB- )  =  0.75
P( `` | `` )  =  2.0
P( PRP | `` )  =  0.1111111111111111
P( I | PRP )  =  0.1111111111111111
P( VBD | PRP )  =  0.2
P( meant | VBD )  =  0.1
P( TO | VBD )  =  0.2
P( to | TO )  =  3.4
P( VB | TO )  =  0.6842105263157895
P( go | VB )  =  0.05263157894736842
P( TO | VB )  =  0.08695652173913043
P( to | TO )  =  0.7391304347826086
P( DT | TO )  =  0.21052631578947367
P( the | DT )  =  1.3157894736842106
P( NN | DT )  =  0.5581395348837209
P( store | NN )  =  0.023255813953488372
P( '' | NN )  =  0.061224489795918366
P( '' | '' )  =  0.16326530612244897
P( -RRB- | '' )  =  0.3333333333333333
P( -RRB- | -RRB- )  =  0.4444444444444444
P( : | -RRB- )  =  0.25
P( ; | : )  =  0.5
P( NN | : )  =  0.2
P( something | NN )  =  0.4
P( JJ | NN )  =  0.02040816326530612
P( offensive | JJ )  =  0.02040816326530612
P( CC | JJ )  =  0.06666666666666667
P( or | CC )  =  0.26666666666666666
P( JJ | CC )  =  0.2222222222222222
P( nasty | JJ )  =  0.05555555555555555
P( : | JJ )  =  0.06666666666666667
P( ; | : )  =  0.06666666666666667
P( CC | : )  =  0.2
P( or | CC )  =  1.6
P( DT | CC )  =  0.16666666666666666
P( the | DT )  =  1.3888888888888888
P( JJ | DT )  =  0.11627906976744186
P( mathematical | JJ )  =  0.023255813953488372
P( NN | JJ )  =  0.23333333333333334
P( average | NN )  =  0.03333333333333333
P( IN | NN )  =  0.22448979591836735
P( of | IN )  =  0.2857142857142857
P( DT | IN )  =  0.28888888888888886
P( a | DT )  =  0.15555555555555556
P( NN | DT )  =  0.5581395348837209
P( set | NN )  =  0.023255813953488372
P( IN | NN )  =  0.22448979591836735
P( of | IN )  =  0.2857142857142857
P( NNS | IN )  =  0.15555555555555556
P( numbers | NNS )  =  0.044444444444444446
P( . | NNS )  =  0.1891891891891892
P( . | . )  =  0.40540540540540543
P( VBG | <s> )  =  0.13333333333333333
P( Adding | VBG )  =  0.06666666666666667
P( DT | VBG )  =  0.25
P( an | DT )  =  0.5
P( `` | DT )  =  0.046511627906976744
P( ` | `` )  =  0.023255813953488372
P( NN | `` )  =  0.1111111111111111
P( s | NN )  =  0.1111111111111111
P( '' | NN )  =  0.061224489795918366
P( ' | '' )  =  0.02040816326530612
P( VBZ | '' )  =  0.1111111111111111
P( introduces | VBZ )  =  0.1111111111111111
P( RB | VBZ )  =  0.1111111111111111
P( even | RB )  =  0.05555555555555555
P( JJR | RB )  =  0.11764705882352941
P( more | JJR )  =  0.11764705882352941
P( JJ | JJR )  =  0.3333333333333333
P( potential | JJ )  =  0.16666666666666666
P( NNS | JJ )  =  0.3333333333333333
P( definitions | NNS )  =  0.03333333333333333
P( : | NNS )  =  0.05405405405405406
P( : | : )  =  0.02702702702702703
P( DT | : )  =  0.2
P( an | DT )  =  0.8
P( NN | DT )  =  0.5581395348837209
P( instrument | NN )  =  0.023255813953488372
P( CC | NN )  =  0.10204081632653061
P( or | CC )  =  0.16326530612244897
P( NN | CC )  =  0.1111111111111111
P( method | NN )  =  0.05555555555555555
P( -LRB- | NN )  =  0.04081632653061224
P( -LRB- | -LRB- )  =  0.08163265306122448
P( `` | -LRB- )  =  0.75
P( `` | `` )  =  2.0
P( SYM | `` )  =  0.1111111111111111
P( a | SYM )  =  0.1111111111111111
P( VBZ | SYM )  =  1.0
P( means | VBZ )  =  1.0
P( TO | VBZ )  =  0.05555555555555555
P( to | TO )  =  0.9444444444444444
P( DT | TO )  =  0.21052631578947367
P( an | DT )  =  0.21052631578947367
P( NN | DT )  =  0.5581395348837209
P( end | NN )  =  0.023255813953488372
P( '' | NN )  =  0.061224489795918366
P( '' | '' )  =  0.16326530612244897
P( -RRB- | '' )  =  0.3333333333333333
P( -RRB- | -RRB- )  =  0.4444444444444444
P( , | -RRB- )  =  0.25
P( , | , )  =  6.0
P( CC | , )  =  0.08333333333333333
P( or | CC )  =  0.3333333333333333
P( JJ | CC )  =  0.2222222222222222
P( financial | JJ )  =  0.05555555555555555
P( NNS | JJ )  =  0.3333333333333333
P( resources | NNS )  =  0.03333333333333333
P( -LRB- | NNS )  =  0.02702702702702703
P( -LRB- | -LRB- )  =  0.10810810810810811
P( `` | -LRB- )  =  0.75
P( `` | `` )  =  2.0
P( TO | `` )  =  0.1111111111111111
P( to | TO )  =  1.8888888888888888
P( VB | TO )  =  0.6842105263157895
P( live | VB )  =  0.05263157894736842
P( IN | VB )  =  0.13043478260869565
P( within | IN )  =  0.043478260869565216
P( CD | IN )  =  0.022222222222222223
P( one | CD )  =  0.022222222222222223
P( POS | CD )  =  0.5
P( 's | POS )  =  1.0
P( NNS | POS )  =  0.5
P( means | NNS )  =  0.5
P( '' | NNS )  =  0.02702702702702703
P( '' | '' )  =  0.21621621621621623
P( -RRB- | '' )  =  0.3333333333333333
P( -RRB- | -RRB- )  =  0.4444444444444444
P( . | -RRB- )  =  0.25
P( . | . )  =  3.75
P( CC | <s> )  =  0.13333333333333333
P( But | CC )  =  0.13333333333333333
P( RB | CC )  =  0.05555555555555555
P( virtually | RB )  =  0.05555555555555555
P( DT | RB )  =  0.058823529411764705
P( no | DT )  =  0.058823529411764705
P( NN | DT )  =  0.5581395348837209
P( speaker | NN )  =  0.11627906976744186
P( IN | NN )  =  0.22448979591836735
P( of | IN )  =  0.2857142857142857
P( NNP | IN )  =  0.08888888888888889
P( English | NNP )  =  0.044444444444444446
P( VBZ | NNP )  =  0.3333333333333333
P( gets | VBZ )  =  0.08333333333333333
P( VBN | VBZ )  =  0.16666666666666666
P( confused | VBN )  =  0.05555555555555555
P( WRB | VBN )  =  0.14285714285714285
P( when | WRB )  =  0.14285714285714285
P( PRP | WRB )  =  0.5
P( he | PRP )  =  0.5
P( CC | PRP )  =  0.1
P( or | CC )  =  0.8
P( PRP | CC )  =  0.1111111111111111
P( she | PRP )  =  0.05555555555555555
P( VBZ | PRP )  =  0.4
P( hears | VBZ )  =  0.1
P( DT | VBZ )  =  0.2222222222222222
P( the | DT )  =  1.3888888888888888
P( NN | DT )  =  0.5581395348837209
P( word | NN )  =  0.09302325581395349
P( `` | NN )  =  0.04081632653061224
P( `` | `` )  =  0.16326530612244897
P( VBP | `` )  =  0.2222222222222222
P( mean | VBP )  =  0.2222222222222222
P( . | VBP )  =  0.2857142857142857
P( . | . )  =  2.142857142857143
P( '' | . )  =  0.13333333333333333
P( '' | '' )  =  0.5333333333333333
P( DT | <s> )  =  0.2
P( That | DT )  =  0.06666666666666667
P( VBZ | DT )  =  0.023255813953488372
P( 's | VBZ )  =  0.046511627906976744
P( IN | VBZ )  =  0.1111111111111111
P( because | IN )  =  0.05555555555555555
P( DT | IN )  =  0.28888888888888886
P( the | DT )  =  0.5555555555555556
P( JJ | DT )  =  0.11627906976744186
P( different | JJ )  =  0.046511627906976744
P( NNS | JJ )  =  0.3333333333333333
P( senses | NNS )  =  0.03333333333333333
P( IN | NNS )  =  0.2702702702702703
P( of | IN )  =  0.3783783783783784
P( DT | IN )  =  0.28888888888888886
P( the | DT )  =  0.5555555555555556
P( NN | DT )  =  0.5581395348837209
P( word | NN )  =  0.09302325581395349
P( VBP | NN )  =  0.02040816326530612
P( occur | VBP )  =  0.02040816326530612
P( IN | VBP )  =  0.2857142857142857
P( in | IN )  =  0.5714285714285714
P( JJ | IN )  =  0.044444444444444446
P( such | JJ )  =  0.022222222222222223
P( JJ | JJ )  =  0.03333333333333333
P( different | JJ )  =  0.06666666666666667
P( NNS | JJ )  =  0.3333333333333333
P( contexts | NNS )  =  0.03333333333333333
P( IN | NNS )  =  0.2702702702702703
P( as | IN )  =  0.13513513513513514
P( TO | IN )  =  0.044444444444444446
P( to | TO )  =  0.37777777777777777
P( VB | TO )  =  0.6842105263157895
P( allow | VB )  =  0.05263157894736842
P( NNS | VB )  =  0.043478260869565216
P( listeners | NNS )  =  0.043478260869565216
P( TO | NNS )  =  0.05405405405405406
P( to | TO )  =  0.4594594594594595
P( VB | TO )  =  0.6842105263157895
P( infer | VB )  =  0.10526315789473684
P( PRP$ | VB )  =  0.043478260869565216
P( its | PRP$ )  =  0.043478260869565216
P( NN | PRP$ )  =  0.6666666666666666
P( meaning | NN )  =  0.3333333333333333
P( RB | NN )  =  0.02040816326530612
P( nearly | RB )  =  0.02040816326530612
P( RB | RB )  =  0.17647058823529413
P( automatically | RB )  =  0.058823529411764705
P( . | RB )  =  0.058823529411764705
P( . | . )  =  0.8823529411764706
P( VBN | <s> )  =  0.06666666666666667
P( Given | VBN )  =  0.06666666666666667
P( DT | VBN )  =  0.14285714285714285
P( the | DT )  =  3.5714285714285716
P( JJ | DT )  =  0.11627906976744186
P( disambiguating | JJ )  =  0.023255813953488372
P( NN | JJ )  =  0.23333333333333334
P( power | NN )  =  0.03333333333333333
P( IN | NN )  =  0.22448979591836735
P( of | IN )  =  0.2857142857142857
P( NN | IN )  =  0.15555555555555556
P( context | NN )  =  0.06666666666666667
P( , | NN )  =  0.08163265306122448
P( , | , )  =  0.4897959183673469
P( DT | , )  =  0.16666666666666666
P( the | DT )  =  1.0416666666666667
P( NNS | DT )  =  0.06976744186046512
P( researchers | NNS )  =  0.06976744186046512
P( VBN | NNS )  =  0.02702702702702703
P( hypothesized | VBN )  =  0.02702702702702703
P( IN | VBN )  =  0.14285714285714285
P( that | IN )  =  0.5714285714285714
P( NNS | IN )  =  0.15555555555555556
P( languages | NNS )  =  0.044444444444444446
P( MD | NNS )  =  0.05405405405405406
P( might | MD )  =  0.02702702702702703
P( VB | MD )  =  0.8333333333333334
P( harness | VB )  =  0.16666666666666666
P( RB | VB )  =  0.043478260869565216
P( ambiguity | RB )  =  0.043478260869565216
P( TO | RB )  =  0.058823529411764705
P( to | TO )  =  1.0
P( JJ | TO )  =  0.05263157894736842
P( reuse | JJ )  =  0.05263157894736842
P( NNS | JJ )  =  0.3333333333333333
P( words | NNS )  =  0.23333333333333334
P( : | NNS )  =  0.05405405405405406
P( -- | : )  =  0.05405405405405406
P( RBS | : )  =  0.2
P( most | RBS )  =  0.4
P( JJ | RBS )  =  1.0
P( likely | JJ )  =  1.0
P( , | JJ )  =  0.03333333333333333
P( , | , )  =  0.8
P( DT | , )  =  0.16666666666666666
P( the | DT )  =  1.0416666666666667
P( JJS | DT )  =  0.09302325581395349
P( easiest | JJS )  =  0.023255813953488372
P( NNS | JJS )  =  0.75
P( words | NNS )  =  1.75
P( IN | NNS )  =  0.2702702702702703
P( for | IN )  =  0.05405405405405406
P( NN | IN )  =  0.15555555555555556
P( language | NN )  =  0.08888888888888889
P( NN | NN )  =  0.04081632653061224
P( processing | NN )  =  0.02040816326530612
P( NNS | NN )  =  0.08163265306122448
P( systems | NNS )  =  0.02040816326530612
P( . | NNS )  =  0.1891891891891892
P( . | . )  =  0.40540540540540543
P( VBG | <s> )  =  0.13333333333333333
P( Building | VBG )  =  0.06666666666666667
P( IN | VBG )  =  0.125
P( on | IN )  =  0.25
P( NN | IN )  =  0.15555555555555556
P( observation | NN )  =  0.022222222222222223
P( CC | NN )  =  0.10204081632653061
P( and | CC )  =  0.14285714285714285
P( JJ | CC )  =  0.2222222222222222
P( previous | JJ )  =  0.05555555555555555
P( NNS | JJ )  =  0.3333333333333333
P( studies | NNS )  =  0.06666666666666667
P( , | NNS )  =  0.1891891891891892
P( , | , )  =  0.6486486486486487
P( PRP | , )  =  0.125
P( they | PRP )  =  0.041666666666666664
P( VBD | PRP )  =  0.2
P( posited | VBD )  =  0.1
P( IN | VBD )  =  0.2
P( that | IN )  =  0.8
P( NNS | IN )  =  0.15555555555555556
P( words | NNS )  =  0.15555555555555556
P( IN | NNS )  =  0.2702702702702703
P( with | IN )  =  0.05405405405405406
P( JJR | IN )  =  0.06666666666666667
P( fewer | JJR )  =  0.022222222222222223
P( NNS | JJR )  =  0.16666666666666666
P( syllables | NNS )  =  0.16666666666666666
P( , | NNS )  =  0.1891891891891892
P( , | , )  =  0.6486486486486487
P( JJ | , )  =  0.041666666666666664
P( high | JJ )  =  0.041666666666666664
P( NN | JJ )  =  0.23333333333333334
P( frequency | NN )  =  0.03333333333333333
P( CC | NN )  =  0.10204081632653061
P( and | CC )  =  0.14285714285714285
P( DT | CC )  =  0.16666666666666666
P( the | DT )  =  1.3888888888888888
P( JJS | DT )  =  0.09302325581395349
P( simplest | JJS )  =  0.023255813953488372
P( NNS | JJS )  =  0.75
P( pronunciations | NNS )  =  0.25
P( MD | NNS )  =  0.05405405405405406
P( should | MD )  =  0.02702702702702703
P( VB | MD )  =  0.8333333333333334
P( have | VB )  =  0.5
P( DT | VB )  =  0.2608695652173913
P( the | DT )  =  1.0869565217391304
P( JJS | DT )  =  0.09302325581395349
P( most | JJS )  =  0.023255813953488372
P( NNS | JJS )  =  0.75
P( meanings | NNS )  =  0.5
P( . | NNS )  =  0.1891891891891892
P( . | . )  =  0.40540540540540543
P( TO | <s> )  =  0.13333333333333333
P( To | TO )  =  0.13333333333333333
P( VB | TO )  =  0.6842105263157895
P( test | VB )  =  0.05263157894736842
P( DT | VB )  =  0.2608695652173913
P( this | DT )  =  0.043478260869565216
P( NN | DT )  =  0.5581395348837209
P( prediction | NN )  =  0.023255813953488372
P( , | NN )  =  0.08163265306122448
P( , | , )  =  0.4897959183673469
P( NNP | , )  =  0.125
P( Piantadosi | NNP )  =  0.08333333333333333
P( , | NNP )  =  0.3333333333333333
P( , | , )  =  2.0
P( NNP | , )  =  0.125
P( Tily | NNP )  =  0.041666666666666664
P( CC | NNP )  =  0.16666666666666666
P( and | CC )  =  0.5833333333333334
P( NNP | CC )  =  0.1111111111111111
P( Gibson | NNP )  =  0.05555555555555555
P( VBD | NNP )  =  0.08333333333333333
P( carried | VBD )  =  0.08333333333333333
P( RP | VBD )  =  0.2
P( out | RP )  =  0.2
P( NN | RP )  =  1.0
P( corpus | NN )  =  2.0
P( NNS | NN )  =  0.08163265306122448
P( studies | NNS )  =  0.04081632653061224
P( IN | NNS )  =  0.2702702702702703
P( of | IN )  =  0.3783783783783784
P( NNP | IN )  =  0.08888888888888889
P( English | NNP )  =  0.044444444444444446
P( , | NNP )  =  0.3333333333333333
P( , | , )  =  2.0
P( NNP | , )  =  0.125
P( Dutch | NNP )  =  0.041666666666666664
P( CC | NNP )  =  0.16666666666666666
P( and | CC )  =  0.5833333333333334
P( NNP | CC )  =  0.1111111111111111
P( German | NNP )  =  0.05555555555555555
P( . | NNP )  =  0.08333333333333333
P( . | . )  =  1.25
P( -LRB- | <s> )  =  0.06666666666666667
P( -LRB- | -LRB- )  =  0.26666666666666666
P( IN | -LRB- )  =  0.25
P( In | IN )  =  0.25
P( NNS | IN )  =  0.15555555555555556
P( linguistics | NNS )  =  0.022222222222222223
P( , | NNS )  =  0.1891891891891892
P( , | , )  =  0.6486486486486487
P( DT | , )  =  0.16666666666666666
P( a | DT )  =  0.2916666666666667
P( NN | DT )  =  0.5581395348837209
P( corpus | NN )  =  0.046511627906976744
P( VBZ | NN )  =  0.12244897959183673
P( is | VBZ )  =  0.1836734693877551
P( DT | VBZ )  =  0.2222222222222222
P( a | DT )  =  0.3888888888888889
P( JJ | DT )  =  0.11627906976744186
P( large | JJ )  =  0.023255813953488372
P( NN | JJ )  =  0.23333333333333334
P( body | NN )  =  0.03333333333333333
P( IN | NN )  =  0.22448979591836735
P( of | IN )  =  0.2857142857142857
P( NNS | IN )  =  0.15555555555555556
P( samples | NNS )  =  0.022222222222222223
P( IN | NNS )  =  0.2702702702702703
P( of | IN )  =  0.3783783783783784
P( NN | IN )  =  0.15555555555555556
P( language | NN )  =  0.08888888888888889
P( IN | NN )  =  0.22448979591836735
P( as | IN )  =  0.10204081632653061
P( PRP | IN )  =  0.022222222222222223
P( it | PRP )  =  0.08888888888888889
P( VBZ | PRP )  =  0.4
P( is | VBZ )  =  0.9
P( VBN | VBZ )  =  0.16666666666666666
P( used | VBN )  =  0.1111111111111111
P( RB | VBN )  =  0.14285714285714285
P( naturally | RB )  =  0.14285714285714285
P( , | RB )  =  0.11764705882352941
P( , | , )  =  1.411764705882353
P( WDT | , )  =  0.041666666666666664
P( which | WDT )  =  0.041666666666666664
P( MD | WDT )  =  0.25
P( can | MD )  =  0.75
P( VB | MD )  =  0.8333333333333334
P( be | VB )  =  0.3333333333333333
P( VBN | VB )  =  0.043478260869565216
P( used | VBN )  =  0.08695652173913043
P( TO | VBN )  =  0.14285714285714285
P( to | TO )  =  2.4285714285714284
P( VB | TO )  =  0.6842105263157895
P( search | VB )  =  0.05263157894736842
P( IN | VB )  =  0.13043478260869565
P( for | IN )  =  0.08695652173913043
P( NN | IN )  =  0.15555555555555556
P( word | NN )  =  0.08888888888888889
P( NNS | NN )  =  0.08163265306122448
P( frequencies | NNS )  =  0.02040816326530612
P( CC | NNS )  =  0.02702702702702703
P( or | CC )  =  0.21621621621621623
P( NNS | CC )  =  0.05555555555555555
P( patterns | NNS )  =  0.1111111111111111
P( . | NNS )  =  0.1891891891891892
P( . | . )  =  0.40540540540540543
P( -RRB- | . )  =  0.06666666666666667
P( -RRB- | -RRB- )  =  0.26666666666666666
P( IN | <s> )  =  0.2
P( By | IN )  =  0.06666666666666667
P( VBG | IN )  =  0.044444444444444446
P( comparing | VBG )  =  0.022222222222222223
P( JJ | VBG )  =  0.125
P( certain | JJ )  =  0.25
P( NNS | JJ )  =  0.3333333333333333
P( properties | NNS )  =  0.03333333333333333
P( IN | NNS )  =  0.2702702702702703
P( of | IN )  =  0.3783783783783784
P( NNS | IN )  =  0.15555555555555556
P( words | NNS )  =  0.15555555555555556
P( TO | NNS )  =  0.05405405405405406
P( to | TO )  =  0.4594594594594595
P( PRP$ | TO )  =  0.05263157894736842
P( their | PRP$ )  =  0.10526315789473684
P( NNS | PRP$ )  =  0.3333333333333333
P( numbers | NNS )  =  0.6666666666666666
P( IN | NNS )  =  0.2702702702702703
P( of | IN )  =  0.3783783783783784
P( NNS | IN )  =  0.15555555555555556
P( meanings | NNS )  =  0.044444444444444446
P( , | NNS )  =  0.1891891891891892
P( , | , )  =  0.6486486486486487
P( DT | , )  =  0.16666666666666666
P( the | DT )  =  1.0416666666666667
P( NNS | DT )  =  0.06976744186046512
P( researchers | NNS )  =  0.06976744186046512
P( VBD | NNS )  =  0.02702702702702703
P( confirmed | VBD )  =  0.02702702702702703
P( PRP$ | VBD )  =  0.2
P( their | PRP$ )  =  0.4
P( NN | PRP$ )  =  0.6666666666666666
P( suspicion | NN )  =  0.3333333333333333
P( IN | NN )  =  0.22448979591836735
P( that | IN )  =  0.08163265306122448
P( JJR | IN )  =  0.06666666666666667
P( shorter | JJR )  =  0.022222222222222223
P( , | JJR )  =  0.16666666666666666
P( , | , )  =  4.0
P( JJR | , )  =  0.041666666666666664
P( more | JJR )  =  0.08333333333333333
P( JJ | JJR )  =  0.3333333333333333
P( frequent | JJ )  =  0.16666666666666666
P( NNS | JJ )  =  0.3333333333333333
P( words | NNS )  =  0.23333333333333334
P( , | NNS )  =  0.1891891891891892
P( , | , )  =  0.6486486486486487
P( RB | , )  =  0.041666666666666664
P( as | RB )  =  0.08333333333333333
P( RB | RB )  =  0.17647058823529413
P( well | RB )  =  0.058823529411764705
P( IN | RB )  =  0.17647058823529413
P( as | IN )  =  0.29411764705882354
P( DT | IN )  =  0.28888888888888886
P( those | DT )  =  0.022222222222222223
P( WDT | DT )  =  0.023255813953488372
P( that | WDT )  =  0.06976744186046512
P( VBP | WDT )  =  0.25
P( conform | VBP )  =  0.25
P( TO | VBP )  =  0.14285714285714285
P( to | TO )  =  2.4285714285714284
P( DT | TO )  =  0.21052631578947367
P( the | DT )  =  1.3157894736842106
P( NN | DT )  =  0.5581395348837209
P( language | NN )  =  0.09302325581395349
P( POS | NN )  =  0.02040816326530612
P( 's | POS )  =  0.04081632653061224
P( JJ | POS )  =  0.5
P( typical | JJ )  =  0.5
P( NN | JJ )  =  0.23333333333333334
P( sound | NN )  =  0.03333333333333333
P( NNS | NN )  =  0.08163265306122448
P( patterns | NNS )  =  0.04081632653061224
P( , | NNS )  =  0.1891891891891892
P( , | , )  =  0.6486486486486487
P( VBP | , )  =  0.08333333333333333
P( are | VBP )  =  0.041666666666666664
P( RBS | VBP )  =  0.14285714285714285
P( most | RBS )  =  0.2857142857142857
P( JJ | RBS )  =  1.0
P( likely | JJ )  =  1.0
P( TO | JJ )  =  0.03333333333333333
P( to | TO )  =  0.5666666666666667
P( VB | TO )  =  0.6842105263157895
P( be | VB )  =  0.10526315789473684
P( JJ | VB )  =  0.08695652173913043
P( ambiguous | JJ )  =  0.043478260869565216
P( : | JJ )  =  0.06666666666666667
P( -- | : )  =  0.06666666666666667
P( NNS | : )  =  0.2
P( trends | NNS )  =  0.2
P( WDT | NNS )  =  0.02702702702702703
P( that | WDT )  =  0.08108108108108109
P( VBD | WDT )  =  0.25
P( were | VBD )  =  0.25
P( RB | VBD )  =  0.2
P( statistically | RB )  =  0.2
P( JJ | RB )  =  0.11764705882352941
P( significant | JJ )  =  0.058823529411764705
P( IN | JJ )  =  0.13333333333333333
P( in | IN )  =  0.13333333333333333
P( DT | IN )  =  0.28888888888888886
P( all | DT )  =  0.022222222222222223
P( CD | DT )  =  0.023255813953488372
P( three | CD )  =  0.023255813953488372
P( NNS | CD )  =  0.5
P( languages | NNS )  =  1.0
P( . | NNS )  =  0.1891891891891892
P( . | . )  =  0.40540540540540543
P( TO | <s> )  =  0.13333333333333333
P( To | TO )  =  0.13333333333333333
P( VB | TO )  =  0.6842105263157895
P( understand | VB )  =  0.05263157894736842
P( WRB | VB )  =  0.043478260869565216
P( why | WRB )  =  0.043478260869565216
P( NNP | WRB )  =  0.5
P( ambiguity | NNP )  =  2.0
P( VBZ | NNP )  =  0.3333333333333333
P( makes | VBZ )  =  0.08333333333333333
P( DT | VBZ )  =  0.2222222222222222
P( a | DT )  =  0.3888888888888889
P( NN | DT )  =  0.5581395348837209
P( language | NN )  =  0.09302325581395349
P( RBR | NN )  =  0.02040816326530612
P( more | RBR )  =  0.04081632653061224
P( JJ | RBR )  =  0.3333333333333333
P( efficient | JJ )  =  0.3333333333333333
P( RB | JJ )  =  0.03333333333333333
P( rather | RB )  =  0.03333333333333333
P( IN | RB )  =  0.17647058823529413
P( than | IN )  =  0.11764705882352941
P( JJR | IN )  =  0.06666666666666667
P( less | JJR )  =  0.022222222222222223
P( RB | JJR )  =  0.16666666666666666
P( so | RB )  =  0.16666666666666666
P( , | RB )  =  0.11764705882352941
P( , | , )  =  1.411764705882353
P( VBP | , )  =  0.08333333333333333
P( think | VBP )  =  0.041666666666666664
P( IN | VBP )  =  0.2857142857142857
P( about | IN )  =  0.14285714285714285
P( DT | IN )  =  0.28888888888888886
P( the | DT )  =  0.5555555555555556
P( VBG | DT )  =  0.023255813953488372
P( competing | VBG )  =  0.023255813953488372
P( NNS | VBG )  =  0.125
P( desires | NNS )  =  0.125
P( IN | NNS )  =  0.2702702702702703
P( of | IN )  =  0.3783783783783784
P( DT | IN )  =  0.28888888888888886
P( the | DT )  =  0.5555555555555556
P( NN | DT )  =  0.5581395348837209
P( speaker | NN )  =  0.11627906976744186
P( CC | NN )  =  0.10204081632653061
P( and | CC )  =  0.14285714285714285
P( DT | CC )  =  0.16666666666666666
P( the | DT )  =  1.3888888888888888
P( NN | DT )  =  0.5581395348837209
P( listener | NN )  =  0.06976744186046512
P( . | NN )  =  0.02040816326530612
P( . | . )  =  0.30612244897959184
P( DT | <s> )  =  0.2
P( The | DT )  =  0.13333333333333333
P( NN | DT )  =  0.5581395348837209
P( speaker | NN )  =  0.11627906976744186
P( VBZ | NN )  =  0.12244897959183673
P( is | VBZ )  =  0.1836734693877551
P( JJ | VBZ )  =  0.1111111111111111
P( interested | JJ )  =  0.05555555555555555
P( IN | JJ )  =  0.13333333333333333
P( in | IN )  =  0.13333333333333333
P( VBG | IN )  =  0.044444444444444446
P( conveying | VBG )  =  0.022222222222222223
P( RB | VBG )  =  0.125
P( as | RB )  =  0.25
P( RB | RB )  =  0.17647058823529413
P( much | RB )  =  0.058823529411764705
P( IN | RB )  =  0.17647058823529413
P( as | IN )  =  0.29411764705882354
P( JJ | IN )  =  0.044444444444444446
P( possible | JJ )  =  0.044444444444444446
P( IN | JJ )  =  0.13333333333333333
P( with | IN )  =  0.06666666666666667
P( DT | IN )  =  0.28888888888888886
P( the | DT )  =  0.5555555555555556
P( JJS | DT )  =  0.09302325581395349
P( fewest | JJS )  =  0.023255813953488372
P( JJ | JJS )  =  0.25
P( possible | JJ )  =  0.5
P( NNS | JJ )  =  0.3333333333333333
P( words | NNS )  =  0.23333333333333334
P( , | NNS )  =  0.1891891891891892
P( , | , )  =  0.6486486486486487
P( IN | , )  =  0.08333333333333333
